date,Minimum,Maximum,Average
2013-06-16,26,32,29.0
2013-06-17,20,25,22.5
2013-06-18,22,26,24.0
2013-06-19,24,28,26.0
2013-06-20,22,26,24.0
2013-06-21,15,20,17.5
2013-06-25,25,30,27.5
2013-06-26,20,25,22.5
2013-06-27,18,24,21.0
2013-06-28,24,28,26.0
2013-06-30,18,22,20.0
2013-07-01,15,20,17.5
2013-07-02,15,20,17.5
2013-07-03,14,18,16.0
2013-07-04,14,18,16.0
2013-07-05,18,24,21.0
2013-07-09,20,25,22.5
2013-07-10,30,35,32.5
2013-07-11,32,38,35.0
2013-07-12,44,48,46.0
2013-07-14,50,55,52.5
2013-07-15,50,55,52.5
2013-07-16,48,52,50.0
2013-07-17,46,52,49.0
2013-07-18,40,45,42.5
2013-07-19,36,40,38.0
2013-07-21,28,32,30.0
2013-07-22,28,32,30.0
2013-07-23,30,35,32.5
2013-07-24,32,36,34.0
2013-07-25,40,45,42.5
2013-07-26,40,45,42.5
2013-07-28,40,45,42.5
2013-07-29,42,46,44.0
2013-07-30,38,42,40.0
2013-07-31,35,40,37.5
2013-08-01,34,38,36.0
2013-08-02,25,35,30.0
2013-08-04,25,30,27.5
2013-08-05,25,30,27.5
2013-08-06,28,34,31.0
2013-08-07,25,30,27.5
2013-08-08,20,25,22.5
2013-08-12,24,28,26.0
2013-08-13,25,30,27.5
2013-08-14,25,30,27.5
2013-08-15,25,32,28.5
2013-08-16,35,40,37.5
2013-08-18,30,35,32.5
2013-08-19,35,40,37.5
2013-08-20,38,42,40.0
2013-08-23,40,44,42.0
2013-08-25,30,35,32.5
2013-08-26,28,32,30.0
2013-08-27,28,32,30.0
2013-08-29,34,38,36.0
2013-08-30,30,35,32.5
2013-09-01,30,35,32.5
2013-09-02,35,40,37.5
2013-09-03,40,45,42.5
2013-09-04,40,45,42.5
2013-09-05,45,50,47.5
2013-09-06,50,55,52.5
2013-09-08,50,56,53.0
2013-09-09,55,60,57.5
2013-09-10,44,50,47.0
2013-09-11,38,42,40.0
